Basename	phone	word	duration	word_duration	F0	F0st	F1	F2	F1_Bark	F2_Bark	Intensity
dhl_part	ae	had	436.49	662.18	283.84	18.06	856.64	1979.68	7.63	12.83	65.17
dhl_part	ae	had	475.83	711.55	283.68	18.05	846.91	1986.95	7.56	12.85	66.15
dhl_part	ae	had	448.36	662.90	280.39	17.85	831.73	2190.78	7.46	13.51	64.68
dhl_part	ae	had	399.25	650.56	279.07	17.77	829.64	1960.82	7.45	12.77	67.08
dhl_part	ae	had	380.53	631.78	273.38	17.41	810.46	2178.09	7.32	13.47	63.58
dhl_part	ei	hayed	417.45	748.65	282.50	17.98	563.68	2550.74	5.49	14.53	64.19
dhl_part	ei	hayed	411.89	660.10	274.28	17.47	531.28	2632.21	5.22	14.75	63.91
dhl_part	ei	hayed	375.71	617.83	264.44	16.84	498.11	2628.72	4.94	14.74	63.84
dhl_part	ei	hayed	330.30	552.43	263.61	16.78	510.16	2459.82	5.05	14.29	63.41
dhl_part	ei	hayed	301.09	516.78	265.77	16.92	522.07	2617.17	5.15	14.71	64.82
dhl_part	eh	head	338.23	599.63	265.26	16.89	823.99	1893.86	7.41	12.54	66.28
dhl_part	eh	head	340.11	595.65	259.69	16.52	924.02	1842.04	8.05	12.35	66.68
dhl_part	eh	head	331.67	655.92	255.42	16.23	933.93	1990.96	8.11	12.87	65.78
dhl_part	eh	head	348.54	543.18	261.30	16.63	853.47	1858.86	7.60	12.41	66.85
dhl_part	eh	head	342.92	565.67	257.38	16.37	891.39	2035.84	7.85	13.02	67.27
dhl_part	iy	heed	372.90	628.09	301.32	19.10	338.67	2758.71	3.50	15.07	66.13
dhl_part	iy	heed	391.33	691.49	297.80	18.89	331.30	2643.53	3.43	14.78	62.74
dhl_part	iy	heed	386.01	711.53	294.93	18.72	342.43	2164.45	3.54	13.43	63.78
dhl_part	iy	heed	383.20	639.44	294.58	18.70	344.67	2919.72	3.56	15.45	66.46
dhl_part	iy	heed	375.71	618.37	294.14	18.68	343.76	2943.08	3.55	15.51	68.32
hVd	ae	had	436.49	662.18	283.85	18.06	856.65	1979.50	7.63	12.83	65.17
hVd	ae	had	475.83	711.55	283.66	18.05	846.91	1986.05	7.56	12.85	66.15
hVd	ae	had	448.36	662.90	280.37	17.85	831.74	2191.20	7.46	13.51	64.68
hVd	ae	had	399.25	650.56	279.07	17.77	829.57	1960.70	7.45	12.77	67.08
hVd	ae	had	380.53	631.78	273.40	17.41	810.25	2178.09	7.32	13.47	63.58
hVd	ei	hayed	417.45	748.65	282.51	17.98	563.72	2552.92	5.49	14.54	64.19
